      Lon      Lat    Year   Stand   Patch     Veg    Repr    Soil    Fire     Est       NEE
   -71.25   -32.75    1973       0       0  -0.368   0.037   0.245   0.014   0.000  -0.07156
   -71.25   -32.75    1973       0       1   0.000  -0.000   0.488   0.004   0.000   0.49198
   -71.25   -32.75    1973       0       2  -0.577   0.058   0.240   0.007   0.000  -0.27208
   -71.25   -32.75    1973       0       3  -0.389   0.039   0.268   0.165   0.000   0.08299
   -71.25   -32.75    1973       0       4  -0.372   0.037   0.235   0.011   0.000  -0.08907
   -71.25   -32.75    1973     110       0  -0.391   0.039   0.256   0.004   0.000  -0.09142
   -71.25   -32.75    1973     110       1  -0.437   0.044   0.258   0.005   0.000  -0.12956
   -71.25   -32.75    1973     110       2  -0.618   0.062   0.366   0.024   0.000  -0.16667
   -71.25   -32.75    1973     110       3  -0.626   0.063   0.330   0.024   0.000  -0.20909
   -71.25   -32.75    1973     110       4  -0.393   0.039   0.259   0.004   0.000  -0.09047
   -71.25   -32.75    1973     131       0  -0.524   0.052   0.276   0.009   0.000  -0.18652
   -71.25   -32.75    1973     131       1  -0.563   0.056   0.380   0.051   0.000  -0.07612
   -71.25   -32.75    1973     131       2  -0.528   0.053   0.304   0.625   0.000   0.45438
   -71.25   -32.75    1973     131       3  -0.452   0.045   0.254   0.000   0.000  -0.15302
   -71.25   -32.75    1973     131       4  -0.609   0.061   0.313   0.019   0.000  -0.21625
   -71.25   -32.75    1973     132       0  -0.391   0.039   0.365   0.004   0.000   0.01731
   -71.25   -32.75    1973     132       1  -0.249   0.025   0.178   0.002   0.000  -0.04375
   -71.25   -32.75    1973     132       2  -0.734   0.073   0.309   0.449   0.000   0.09737
   -71.25   -32.75    1973     132       3  -0.332   0.033   0.201   0.010   0.000  -0.08748
   -71.25   -32.75    1973     132       4  -0.640   0.064   0.361   0.443   0.000   0.22778
   -71.25   -32.75    1973     133       0  -0.500   0.050   0.295   0.009   0.000  -0.14531
   -71.25   -32.75    1973     133       1  -0.380   0.038   0.285   0.004   0.000  -0.05364
   -71.25   -32.75    1973     133       2  -0.384   0.038   0.189   0.003   0.000  -0.15352
   -71.25   -32.75    1973     133       3  -0.457   0.046   0.335   0.009   0.000  -0.06734
   -71.25   -32.75    1973     133       4  -0.594   0.059   0.390   0.019   0.000  -0.12553
   -71.25   -32.75    1973     134       0  -0.509   0.051   0.316   0.007   0.000  -0.13482
   -71.25   -32.75    1973     134       1  -0.615   0.061   0.348   0.034   0.000  -0.17050
   -71.25   -32.75    1973     134       2  -0.423   0.042   0.240   0.004   0.000  -0.13746
   -71.25   -32.75    1973     134       3  -0.366   0.037   0.278   0.022   0.000  -0.02924
   -71.25   -32.75    1973     134       4  -0.489   0.049   0.282   0.007   0.000  -0.15170
   -71.25   -32.75    1973     140       0  -0.592   0.059   0.319   0.012   0.000  -0.20173
