      Lon      Lat    Year   Stand   Patch     dep     fix    fert    flux   leach     NEE
   -71.25   -32.75    1951     140       0   -0.49   -0.12   -0.00    1.94    0.02    1.36
   -71.25   -32.75    1951     140       1   -0.49   -0.71   -0.00   15.45    0.03   14.27
   -71.25   -32.75    1951     140       2   -0.49   -0.00   -0.00    0.73    0.16    0.40
   -71.25   -32.75    1951     140       3   -0.49   -0.00   -0.00    1.48    0.02    1.01
   -71.25   -32.75    1951     140       4   -0.49   -0.02   -0.00    1.47    0.01    0.97
   -71.25   -32.75    1951     160       0   -0.49   -0.00   -0.00    1.10    0.25    0.86
   -71.25   -32.75    1951     160       1   -0.49   -0.10   -0.00    1.86    0.06    1.32
   -71.25   -32.75    1951     160       2   -0.49   -1.09   -0.00    1.59    0.02    0.03
   -71.25   -32.75    1951     160       3   -0.49   -0.59   -0.00    5.47    1.53    5.92
   -71.25   -32.75    1951     160       4   -0.49   -0.00   -0.00    0.43    0.09    0.03
   -71.25   -32.75    1952       0       0   -0.49   -0.64   -0.00    0.89    1.72    1.48
   -71.25   -32.75    1952       0       1   -0.49   -0.68   -0.00    1.07    1.57    1.47
   -71.25   -32.75    1952       0       2   -0.49   -0.80   -0.00    1.70    1.19    1.59
   -71.25   -32.75    1952       0       3   -0.49   -0.59   -0.00    0.73    1.29    0.95
   -71.25   -32.75    1952       0       4   -0.49   -0.58   -0.00    0.74    1.51    1.17
   -71.25   -32.75    1952     110       0   -0.49   -0.00   -0.00    1.45    0.08    1.03
   -71.25   -32.75    1952     110       1   -0.49   -0.00   -0.00    1.55    0.06    1.12
   -71.25   -32.75    1952     110       2   -0.49   -0.00   -0.00    1.67    0.06    1.24
   -71.25   -32.75    1952     110       3   -0.49   -0.10   -0.00    0.73    0.06    0.20
   -71.25   -32.75    1952     110       4   -0.49   -0.30   -0.00    3.65    0.06    2.91
   -71.25   -32.75    1952     131       0   -0.49   -0.11   -0.00    1.48    0.06    0.93
   -71.25   -32.75    1952     131       1   -0.49   -0.00   -0.00    1.12    0.06    0.69
   -71.25   -32.75    1952     131       2   -0.49   -0.02   -0.00    1.54    0.05    1.08
   -71.25   -32.75    1952     131       3   -0.49   -0.18   -0.00    2.18    0.08    1.58
   -71.25   -32.75    1952     131       4   -0.49   -0.04   -0.00    1.56    0.05    1.07
   -71.25   -32.75    1952     132       0   -0.49   -0.10   -0.00    1.58    0.08    1.07
   -71.25   -32.75    1952     132       1   -0.49   -0.00   -0.00    0.93    0.06    0.50
   -71.25   -32.75    1952     132       2   -0.49   -0.00   -0.00    1.06    0.05    0.61
   -71.25   -32.75    1952     132       3   -0.49   -0.00   -0.00    1.18    0.07    0.74
   -71.25   -32.75    1952     132       4   -0.49   -0.03   -0.00    0.87    0.06    0.41
   -71.25   -32.75    1952     133       0   -0.49   -0.10   -0.00    1.68    0.06    1.14
   -71.25   -32.75    1952     133       1   -0.49   -0.12   -0.00    1.39    0.05    0.82
   -71.25   -32.75    1952     133       2   -0.49   -0.24   -0.00    0.20    0.38   -0.15
   -71.25   -32.75    1952     133       3   -0.49   -0.10   -0.00    1.64    0.06    1.11
   -71.25   -32.75    1952     133       4   -0.49   -0.00   -0.00    1.39    0.06    0.96
   -71.25   -32.75    1952     134       0   -0.49   -0.07   -0.00    1.51    0.07    1.02
   -71.25   -32.75    1952     134       1   -0.49   -0.83   -0.00    4.91    0.86    4.45
   -71.25   -32.75    1952     134       2   -0.49   -0.12   -0.00    1.99    0.08    1.46
   -71.25   -32.75    1952     134       3   -0.49   -0.04   -0.00    1.45    0.07    0.98
   -71.25   -32.75    1952     134       4   -0.49   -0.01   -0.00    1.30    0.09    0.89
   -71.25   -32.75    1952     140       0   -0.49   -0.07   -0.00    2.41    0.09    1.94
   -71.25   -32.75    1952     140       1   -0.49   -0.41   -0.00    5.20    0.14    4.44
   -71.25   -32.75    1952     140       2   -0.49   -0.00   -0.00    0.77    0.12    0.40
   -71.25   -32.75    1952     140       3   -0.49   -0.00   -0.00    1.42    0.09    1.02
   -71.25   -32.75    1952     140       4   -0.49   -0.03   -0.00    1.48    0.07    1.03
   -71.25   -32.75    1952     160       0   -0.49   -0.10   -0.00    1.09    1.12    1.62
   -71.25   -32.75    1952     160       1   -0.49   -0.08   -0.00    2.12    0.10    1.64
   -71.25   -32.75    1952     160       2   -0.49   -0.15   -0.00    5.24    0.10    4.70
   -71.25   -32.75    1952     160       3   -0.49   -1.08   -0.00    7.73    1.45    7.61
   -71.25   -32.75    1952     160       4   -0.49   -0.08   -0.00    0.41    0.54    0.37
