      Lon      Lat    Year   Stand   Patch     dep     fix    fert   input    min    imm netmin  Total
   -71.25   -32.75    1951     133       2    0.49    0.37    0.00    0.86  41.13  23.21  17.92  18.78
   -71.25   -32.75    1951     133       3    0.49    0.09    0.00    0.58 277.07 306.64 -29.58 -28.99
   -71.25   -32.75    1951     133       4    0.49    0.00    0.00    0.49 254.58 286.28 -31.70 -31.20
   -71.25   -32.75    1951     134       0    0.49    0.03    0.00    0.52 271.21 289.76 -18.55 -18.03
   -71.25   -32.75    1951     134       1    0.49    0.41    0.00    0.90 124.66 122.83   1.82   2.73
   -71.25   -32.75    1951     134       2    0.49    0.12    0.00    0.61 219.70 231.46 -11.76 -11.15
   -71.25   -32.75    1951     134       3    0.49    0.02    0.00    0.51 277.60 272.13   5.46   5.97
   -71.25   -32.75    1951     134       4    0.49    0.00    0.00    0.49 229.41 249.35 -19.94 -19.44
   -71.25   -32.75    1951     140       0    0.49    0.12    0.00    0.61 300.22 321.30 -21.08 -20.47
   -71.25   -32.75    1951     140       1    0.49    0.71    0.00    1.20 210.37 167.54  42.82  44.03
   -71.25   -32.75    1951     140       2    0.49    0.00    0.00    0.50 162.66 185.55 -22.89 -22.39
   -71.25   -32.75    1951     140       3    0.49    0.00    0.00    0.49 271.47 292.42 -20.95 -20.46
   -71.25   -32.75    1951     140       4    0.49    0.02    0.00    0.51 302.97 303.36  -0.39   0.12
   -71.25   -32.75    1951     160       0    0.49    0.00    0.00    0.49 181.06 197.65 -16.59 -16.10
   -71.25   -32.75    1951     160       1    0.49    0.10    0.00    0.59 268.31 238.98  29.33  29.93
   -71.25   -32.75    1951     160       2    0.49    1.09    0.00    1.58 297.96 322.41 -24.45 -22.87
   -71.25   -32.75    1951     160       3    0.49    0.59    0.00    1.08 216.26 189.46  26.80  27.87
   -71.25   -32.75    1951     160       4    0.49    0.00    0.00    0.49  85.16  63.63  21.53  22.02
   -71.25   -32.75    1952       0       0    0.49    0.64    0.00    1.13 166.62  91.56  75.05  76.18
   -71.25   -32.75    1952       0       1    0.49    0.68    0.00    1.17 161.00  88.35  72.65  73.82
   -71.25   -32.75    1952       0       2    0.49    0.80    0.00    1.30 148.83  77.92  70.91  72.21
   -71.25   -32.75    1952       0       3    0.49    0.59    0.00    1.08 113.19  63.48  49.71  50.78
   -71.25   -32.75    1952       0       4    0.49    0.58    0.00    1.08 138.65  79.15  59.50  60.58
   -71.25   -32.75    1952     110       0    0.49    0.00    0.00    0.50 219.87 116.92 102.95 103.44
   -71.25   -32.75    1952     110       1    0.49    0.00    0.00    0.49 243.27 119.67 123.59 124.09
   -71.25   -32.75    1952     110       2    0.49    0.00    0.00    0.49 257.84 123.50 134.33 134.83
   -71.25   -32.75    1952     110       3    0.49    0.10    0.00    0.59 129.21  76.23  52.98  53.57
   -71.25   -32.75    1952     110       4    0.49    0.30    0.00    0.80 108.90  74.24  34.66  35.45
   -71.25   -32.75    1952     131       0    0.49    0.11    0.00    0.61 206.10 108.83  97.26  97.87
   -71.25   -32.75    1952     131       1    0.49    0.00    0.00    0.50 190.06 105.51  84.55  85.05
   -71.25   -32.75    1952     131       2    0.49    0.02    0.00    0.52 246.10 114.19 131.91 132.42
   -71.25   -32.75    1952     131       3    0.49    0.18    0.00    0.67 211.49 119.09  92.39  93.07
   -71.25   -32.75    1952     131       4    0.49    0.04    0.00    0.54 227.07 110.97 116.09 116.63
   -71.25   -32.75    1952     132       0    0.49    0.10    0.00    0.59 203.00 102.91 100.09 100.69
   -71.25   -32.75    1952     132       1    0.49    0.00    0.00    0.50 152.87  86.06  66.82  67.31
   -71.25   -32.75    1952     132       2    0.49    0.00    0.00    0.50 174.23  92.97  81.27  81.76
   -71.25   -32.75    1952     132       3    0.49    0.00    0.00    0.50 175.83  99.87  75.96  76.46
   -71.25   -32.75    1952     132       4    0.49    0.03    0.00    0.52 156.62  91.53  65.09  65.61
   -71.25   -32.75    1952     133       0    0.49    0.10    0.00    0.60 237.20 116.14 121.06 121.65
   -71.25   -32.75    1952     133       1    0.49    0.12    0.00    0.61 173.03  95.09  77.94  78.55
   -71.25   -32.75    1952     133       2    0.49    0.24    0.00    0.73  39.63  20.32  19.31  20.04
   -71.25   -32.75    1952     133       3    0.49    0.10    0.00    0.59 234.47 116.26 118.21 118.81
   -71.25   -32.75    1952     133       4    0.49    0.00    0.00    0.49 224.34 115.16 109.18 109.68
   -71.25   -32.75    1952     134       0    0.49    0.07    0.00    0.56 227.68 117.11 110.58 111.13
   -71.25   -32.75    1952     134       1    0.49    0.83    0.00    1.32 129.64  91.04  38.60  39.92
   -71.25   -32.75    1952     134       2    0.49    0.12    0.00    0.62 185.62 104.88  80.74  81.35
   -71.25   -32.75    1952     134       3    0.49    0.04    0.00    0.54 218.84 100.13 118.71 119.25
   -71.25   -32.75    1952     134       4    0.49    0.01    0.00    0.50 203.07 114.21  88.86  89.35
   -71.25   -32.75    1952     140       0    0.49    0.07    0.00    0.56 243.18 116.02 127.16 127.71
   -71.25   -32.75    1952     140       1    0.49    0.41    0.00    0.90 236.49 227.45   9.04   9.94
   -71.25   -32.75    1952     140       2    0.49    0.00    0.00    0.49 148.50  87.14  61.37  61.86
   -71.25   -32.75    1952     140       3    0.49    0.00    0.00    0.49 221.79 112.31 109.48 109.98
   -71.25   -32.75    1952     140       4    0.49    0.03    0.00    0.52 235.88 109.42 126.46 126.99
   -71.25   -32.75    1952     160       0    0.49    0.10    0.00    0.59 164.59  90.94  73.65  74.24
   -71.25   -32.75    1952     160       1    0.49    0.08    0.00    0.58 185.96 104.91  81.05  81.63
   -71.25   -32.75    1952     160       2    0.49    0.15    0.00    0.65 234.47 104.57 129.90 130.54
   -71.25   -32.75    1952     160       3    0.49    1.08    0.00    1.57 196.33 127.41  68.92  70.49
   -71.25   -32.75    1952     160       4    0.49    0.08    0.00    0.58  69.36  41.48  27.88  28.46
   -71.25   -32.75    1953       0       0    0.49    0.31    0.00    0.80  96.59  55.06  41.54  42.34
   -71.25   -32.75    1953       0       1    0.49    0.33    0.00    0.83  95.63  54.29  41.35  42.18
   -71.25   -32.75    1953       0       2    0.49    0.58    0.00    1.07  96.25  55.31  40.94  42.01
   -71.25   -32.75    1953       0       3    0.49    0.24    0.00    0.73  75.24  43.22  32.02  32.75
   -71.25   -32.75    1953       0       4    0.49    0.21    0.00    0.71  87.16  49.72  37.44  38.15
   -71.25   -32.75    1953     110       0    0.49    0.00    0.00    0.49 130.91  74.91  56.00  56.49
   -71.25   -32.75    1953     110       1    0.49    0.00    0.00    0.49 132.66  73.59  59.06  59.55
   -71.25   -32.75    1953     110       2    0.49    0.00    0.00    0.49 141.33  76.32  65.01  65.50
   -71.25   -32.75    1953     110       3    0.49    0.13    0.00    0.62  89.22  52.46  36.76  37.39
   -71.25   -32.75    1953     110       4    0.49    0.94    0.00    1.43  82.73  70.50  12.23  13.66
   -71.25   -32.75    1953     131       0    0.49    0.16    0.00    0.65 123.07  67.55  55.52  56.17
   -71.25   -32.75    1953     131       1    0.49    0.05    0.00    0.54 114.13  67.13  46.99  47.53
   -71.25   -32.75    1953     131       2    0.49    0.11    0.00    0.60 136.14  71.09  65.05  65.65
   -71.25   -32.75    1953     131       3    0.49    0.48    0.00    0.97 126.68  81.51  45.17  46.14
   -71.25   -32.75    1953     131       4    0.49    0.14    0.00    0.63 120.25  65.89  54.36  54.99
   -71.25   -32.75    1953     132       0    0.49    0.14    0.00    0.63 112.83  65.24  47.59  48.22
   -71.25   -32.75    1953     132       1    0.49    0.00    0.00    0.49  98.47  58.37  40.10  40.59
   -71.25   -32.75    1953     132       2    0.49    0.01    0.00    0.51  97.90  58.36  39.55  40.05
   -71.25   -32.75    1953     132       3    0.49    0.03    0.00    0.52 110.12  67.43  42.69  43.21
   -71.25   -32.75    1953     132       4    0.49    0.11    0.00    0.60  96.01  60.98  35.04  35.64
   -71.25   -32.75    1953     133       0    0.49    0.13    0.00    0.62 127.71  71.15  56.56  57.18
   -71.25   -32.75    1953     133       1    0.49    0.25    0.00    0.74  99.70  62.25  37.45  38.19
   -71.25   -32.75    1953     133       2    0.49    0.39    0.00    0.88  42.18  28.37  13.81  14.69
   -71.25   -32.75    1953     133       3    0.49    0.16    0.00    0.65 126.37  70.19  56.18  56.83
   -71.25   -32.75    1953     133       4    0.49    0.03    0.00    0.53 124.04  70.99  53.05  53.58
   -71.25   -32.75    1953     134       0    0.49    0.12    0.00    0.61 127.23  73.21  54.02  54.63
   -71.25   -32.75    1953     134       1    0.49    1.40    0.00    1.89 118.37  97.02  21.35  23.24
   -71.25   -32.75    1953     134       2    0.49    0.22    0.00    0.71 112.41  70.40  42.02  42.72
   -71.25   -32.75    1953     134       3    0.49    0.12    0.00    0.61 120.00  63.66  56.34  56.95
   -71.25   -32.75    1953     134       4    0.49    0.00    0.00    0.49 121.19  72.95  48.24  48.74
   -71.25   -32.75    1953     140       0    0.49    0.16    0.00    0.65 130.50  73.34  57.16  57.81
   -71.25   -32.75    1953     140       1    0.49    0.96    0.00    1.45 204.21 120.23  83.98  85.43
   -71.25   -32.75    1953     140       2    0.49    0.04    0.00    0.53  87.36  56.46  30.90  31.43
   -71.25   -32.75    1953     140       3    0.49    0.00    0.00    0.49 118.87  69.07  49.79  50.29
   -71.25   -32.75    1953     140       4    0.49    0.04    0.00    0.53 125.62  66.54  59.07  59.61
   -71.25   -32.75    1953     160       0    0.49    0.06    0.00    0.56 100.50  61.23  39.27  39.83
   -71.25   -32.75    1953     160       1    0.49    0.25    0.00    0.74 112.29  70.78  41.52  42.26
