      Lon      Lat    Year   Stand   Patch      NH3      NOx      N2O       N2    NSoil    Total
   -71.25   -32.75    1984       0       1    0.025    1.204    0.183    3.667    0.626    5.705
   -71.25   -32.75    1984       0       2    0.026    1.228    0.187    3.742    0.848    6.031
   -71.25   -32.75    1984       0       3    0.000    0.000    0.000    0.000    0.687    0.687
   -71.25   -32.75    1984       0       4    0.000    0.000    0.000    0.000    0.621    0.621
   -71.25   -32.75    1984     110       0    0.005    0.259    0.039    0.790    0.628    1.723
   -71.25   -32.75    1984     110       1    0.005    0.247    0.037    0.751    0.493    1.533
   -71.25   -32.75    1984     110       2    0.108    5.125    0.779   15.613    0.838   22.464
   -71.25   -32.75    1984     110       3    0.008    0.394    0.060    1.200    1.094    2.755
   -71.25   -32.75    1984     110       4    0.005    0.252    0.038    0.767    0.522    1.583
   -71.25   -32.75    1984     131       0    0.141    6.679    1.014   20.346    0.682   28.862
   -71.25   -32.75    1984     131       1    0.013    0.601    0.091    1.831    0.916    3.453
   -71.25   -32.75    1984     131       2    0.007    0.322    0.049    0.980    0.647    2.005
   -71.25   -32.75    1984     131       3    0.004    0.189    0.029    0.577    0.765    1.564
   -71.25   -32.75    1984     131       4    0.017    0.798    0.121    2.430    0.772    4.137
   -71.25   -32.75    1984     132       0    0.004    0.177    0.027    0.538    0.713    1.458
   -71.25   -32.75    1984     132       1    0.015    0.726    0.110    2.210    0.483    3.545
   -71.25   -32.75    1984     132       2    0.017    0.820    0.125    2.499    0.789    4.251
   -71.25   -32.75    1984     132       3    0.017    0.818    0.124    2.491    0.549    4.000
   -71.25   -32.75    1984     132       4    0.020    0.969    0.147    2.951    0.969    5.056
   -71.25   -32.75    1984     133       0    0.205    9.718    1.476   29.606    0.696   41.701
   -71.25   -32.75    1984     133       1    0.020    0.967    0.147    2.945    0.506    4.586
   -71.25   -32.75    1984     133       2    0.001    0.064    0.010    0.195    0.338    0.608
   -71.25   -32.75    1984     133       3    0.016    0.745    0.113    2.268    0.649    3.791
   -71.25   -32.75    1984     133       4    0.015    0.703    0.107    2.143    0.727    3.694
   -71.25   -32.75    1984     134       0    0.010    0.467    0.071    1.422    0.670    2.639
   -71.25   -32.75    1984     134       1    0.030    1.421    0.216    4.328    1.013    7.006
   -71.25   -32.75    1984     134       2    0.004    0.190    0.029    0.579    0.544    1.346
   -71.25   -32.75    1984     134       3    0.000    0.000    0.000    0.000    0.740    0.740
   -71.25   -32.75    1984     134       4    0.013    0.631    0.096    1.923    0.708    3.371
   -71.25   -32.75    1984     140       0    0.015    0.723    0.110    2.203    0.628    3.679
   -71.25   -32.75    1984     140       1    0.000    0.000    0.000    0.000    0.483    0.483
   -71.25   -32.75    1984     140       2    0.000    0.000    0.000    0.000    0.426    0.426
   -71.25   -32.75    1984     140       3    0.064    3.011    0.457    9.171    0.675   13.377
   -71.25   -32.75    1984     140       4    0.010    0.486    0.074    1.479    1.043    3.091
   -71.25   -32.75    1984     160       0    0.027    1.292    0.196    3.936    0.737    6.189
   -71.25   -32.75    1984     160       1    0.011    0.536    0.081    1.632    0.705    2.965
   -71.25   -32.75    1984     160       2    0.234   11.076    1.682   33.743    0.775   47.511
   -71.25   -32.75    1984     160       3    0.011    0.507    0.077    1.544    0.630    2.769
   -71.25   -32.75    1984     160       4    0.005    0.218    0.033    0.664    0.659    1.579
   -71.25   -32.75    1985       0       0    0.004    0.167    0.025    0.510    0.607    1.314
   -71.25   -32.75    1985       0       1    0.015    0.698    0.106    2.127    0.740    3.686
   -71.25   -32.75    1985       0       2    0.014    0.650    0.099    1.980    0.886    3.628
   -71.25   -32.75    1985       0       3    0.025    1.168    0.177    3.557    0.810    5.736
   -71.25   -32.75    1985       0       4    0.000    0.000    0.000    0.000    0.638    0.638
   -71.25   -32.75    1985     110       0    0.003    0.141    0.021    0.431    0.575    1.172
   -71.25   -32.75    1985     110       1    0.003    0.140    0.021    0.427    0.530    1.122
   -71.25   -32.75    1985     110       2    0.004    0.185    0.028    0.564    0.811    1.593
   -71.25   -32.75    1985     110       3    0.004    0.201    0.031    0.613    0.656    1.504
   -71.25   -32.75    1985     110       4    0.003    0.141    0.021    0.429    0.541    1.136
   -71.25   -32.75    1985     131       0    0.002    0.116    0.018    0.355    0.745    1.236
   -71.25   -32.75    1985     131       1    0.007    0.317    0.048    0.965    1.121    2.457
   -71.25   -32.75    1985     131       2    0.004    0.167    0.025    0.508    0.593    1.297
   -71.25   -32.75    1985     131       3    0.002    0.099    0.015    0.302    0.537    0.955
   -71.25   -32.75    1985     131       4    0.006    0.293    0.045    0.893    0.822    2.060
   -71.25   -32.75    1985     132       0    0.002    0.092    0.014    0.282    0.772    1.163
   -71.25   -32.75    1985     132       1    0.017    0.786    0.119    2.395    0.442    3.759
   -71.25   -32.75    1985     132       2    0.007    0.332    0.050    1.010    0.808    2.207
   -71.25   -32.75    1985     132       3    0.009    0.435    0.066    1.325    0.599    2.434
   -71.25   -32.75    1985     132       4    0.006    0.299    0.045    0.910    0.976    2.235
   -71.25   -32.75    1985     133       0    0.002    0.092    0.014    0.280    0.759    1.147
   -71.25   -32.75    1985     133       1    0.050    2.354    0.358    7.170    0.580   10.511
   -71.25   -32.75    1985     133       2    0.001    0.049    0.008    0.151    0.357    0.565
   -71.25   -32.75    1985     133       3    0.005    0.254    0.039    0.772    0.685    1.755
   -71.25   -32.75    1985     133       4    0.006    0.289    0.044    0.881    0.810    2.030
   -71.25   -32.75    1985     134       0    0.004    0.191    0.029    0.581    0.699    1.503
   -71.25   -32.75    1985     134       1    0.018    0.860    0.131    2.619    1.107    4.734
   -71.25   -32.75    1985     134       2    0.002    0.101    0.015    0.309    0.558    0.985
   -71.25   -32.75    1985     134       3    0.000    0.000    0.000    0.000    0.900    0.900
   -71.25   -32.75    1985     134       4    0.100    4.734    0.719   14.422    0.624   20.599
   -71.25   -32.75    1985     140       0    0.005    0.249    0.038    0.758    0.684    1.733
   -71.25   -32.75    1985     140       1    0.000    0.000    0.000    0.000    0.510    0.510
   -71.25   -32.75    1985     140       2    0.004    0.185    0.028    0.565    0.498    1.280
   -71.25   -32.75    1985     140       3    0.004    0.178    0.027    0.542    0.735    1.486
   -71.25   -32.75    1985     140       4    0.005    0.259    0.039    0.790    1.078    2.172
   -71.25   -32.75    1985     160       0    0.012    0.581    0.088    1.769    0.840    3.290
   -71.25   -32.75    1985     160       1    0.004    0.193    0.029    0.588    0.661    1.476
   -71.25   -32.75    1985     160       2    0.003    0.145    0.022    0.441    0.827    1.437
   -71.25   -32.75    1985     160       3    0.005    0.216    0.033    0.658    0.656    1.566
   -71.25   -32.75    1985     160       4    0.002    0.106    0.016    0.324    0.520    0.969
   -71.25   -32.75    1986       0       0    0.006    0.287    0.044    0.875    0.604    1.816
   -71.25   -32.75    1986       0       1    0.031    1.491    0.227    4.543    0.759    7.052
   -71.25   -32.75    1986       0       2    0.025    1.205    0.183    3.671    0.789    5.873
   -71.25   -32.75    1986       0       3    0.042    1.973    0.300    6.010    0.889    9.213
   -71.25   -32.75    1986       0       4    0.000    0.000    0.000    0.000    0.645    0.645
   -71.25   -32.75    1986     110       0    0.005    0.217    0.033    0.660    0.604    1.518
   -71.25   -32.75    1986     110       1    0.004    0.210    0.032    0.641    0.566    1.454
