      Lon      Lat    Year   Stand   Patch  FireRT
   -71.25   -32.75    1953     133       4    72.4
   -71.25   -32.75    1953     134       0    63.6
   -71.25   -32.75    1953     134       1     1.8
   -71.25   -32.75    1953     134       2     6.9
   -71.25   -32.75    1953     134       3    67.7
   -71.25   -32.75    1953     134       4    75.2
   -71.25   -32.75    1953     140       0     5.2
   -71.25   -32.75    1953     140       1     1.8
   -71.25   -32.75    1953     140       2    72.4
   -71.25   -32.75    1953     140       3    74.7
   -71.25   -32.75    1953     140       4    63.3
   -71.25   -32.75    1953     160       0    74.3
   -71.25   -32.75    1953     160       1     3.7
   -71.25   -32.75    1953     160       2     5.1
   -71.25   -32.75    1953     160       3     1.8
   -71.25   -32.75    1953     160       4    74.8
   -71.25   -32.75    1954       0       0    44.4
   -71.25   -32.75    1954       0       1    11.7
   -71.25   -32.75    1954       0       2     9.0
   -71.25   -32.75    1954       0       3    11.3
   -71.25   -32.75    1954       0       4    20.7
   -71.25   -32.75    1954     110       0   118.4
   -71.25   -32.75    1954     110       1   101.0
   -71.25   -32.75    1954     110       2   101.3
   -71.25   -32.75    1954     110       3    52.4
   -71.25   -32.75    1954     110       4     9.7
   -71.25   -32.75    1954     131       0    10.1
   -71.25   -32.75    1954     131       1    94.8
   -71.25   -32.75    1954     131       2    84.7
   -71.25   -32.75    1954     131       3    10.6
   -71.25   -32.75    1954     131       4    24.9
   -71.25   -32.75    1954     132       0    34.1
   -71.25   -32.75    1954     132       1   101.8
   -71.25   -32.75    1954     132       2   100.5
   -71.25   -32.75    1954     132       3   100.2
   -71.25   -32.75    1954     132       4    84.9
   -71.25   -32.75    1954     133       0    32.9
   -71.25   -32.75    1954     133       1    11.7
   -71.25   -32.75    1954     133       2     7.4
   -71.25   -32.75    1954     133       3    11.3
   -71.25   -32.75    1954     133       4    96.4
   -71.25   -32.75    1954     134       0    68.6
   -71.25   -32.75    1954     134       1     6.8
   -71.25   -32.75    1954     134       2     8.9
   -71.25   -32.75    1954     134       3    79.5
   -71.25   -32.75    1954     134       4   101.4
   -71.25   -32.75    1954     140       0     8.2
   -71.25   -32.75    1954     140       1     9.8
   -71.25   -32.75    1954     140       2    94.0
   -71.25   -32.75    1954     140       3   100.7
   -71.25   -32.75    1954     140       4    67.9
   -71.25   -32.75    1954     160       0    99.0
   -71.25   -32.75    1954     160       1     7.6
   -71.25   -32.75    1954     160       2     8.2
