      Lon      Lat    Year   Stand   Patch    Surf   Drain    Base    Deep     All
   -71.25   -32.75  -16450       0       0    69.1    92.0    13.0     0.0   174.1
   -71.25   -32.75  -16450       0       1    68.6    97.8    13.2     0.0   179.5
   -71.25   -32.75  -16450       0       2    69.4     0.0     4.6     0.0    74.0
   -71.25   -32.75  -16450       0       3    69.2    86.8    13.0     0.0   169.0
   -71.25   -32.75  -16450       0       4    68.8    99.5    13.1     0.0   181.5
   -71.25   -32.75  -16450     110       0    57.0    52.9    13.2     0.0   123.1
   -71.25   -32.75  -16450     110       1    66.4     0.0     3.8     0.0    70.3
   -71.25   -32.75  -16450     110       2    59.5    29.5    13.2     0.0   102.1
   -71.25   -32.75  -16450     110       3    66.1     0.0     0.3     0.0    66.4
   -71.25   -32.75  -16450     110       4    65.8     0.0     0.2     0.0    66.0
   -71.25   -32.75  -16450     131       0    61.6     0.0     0.2     0.0    61.7
   -71.25   -32.75  -16450     131       1    61.6     0.0     0.2     0.0    61.7
   -71.25   -32.75  -16450     131       2    66.7     0.0     0.2     0.0    66.9
   -71.25   -32.75  -16450     131       3    66.0     0.0     0.2     0.0    66.2
   -71.25   -32.75  -16450     131       4    58.9    81.4    13.8     0.0   154.1
   -71.25   -32.75  -16450     132       0    70.7     0.0     0.2     0.0    70.9
   -71.25   -32.75  -16450     132       1    59.4    51.4    13.1     0.0   124.0
   -71.25   -32.75  -16450     132       2    67.3     0.0     0.2     0.0    67.5
   -71.25   -32.75  -16450     132       3    64.9     0.0     0.2     0.0    65.1
   -71.25   -32.75  -16450     132       4    67.5     0.0     0.2     0.0    67.7
   -71.25   -32.75  -16450     133       0    63.9     0.0     5.7     0.0    69.6
   -71.25   -32.75  -16450     133       1    60.7     0.0     9.8     0.0    70.5
   -71.25   -32.75  -16450     133       2    66.1     0.0     0.2     0.0    66.3
   -71.25   -32.75  -16450     133       3    63.9     0.0     0.2     0.0    64.1
   -71.25   -32.75  -16450     133       4    53.3    61.6    13.4     0.0   128.3
   -71.25   -32.75  -16450     134       0    67.5     0.0     0.2     0.0    67.8
   -71.25   -32.75  -16450     134       1    67.1     0.0     0.2     0.0    67.3
   -71.25   -32.75  -16450     134       2    68.0     0.0     0.2     0.0    68.3
   -71.25   -32.75  -16450     134       3    65.9     0.0     7.7     0.0    73.6
   -71.25   -32.75  -16450     134       4    69.0     0.0     0.2     0.0    69.2
   -71.25   -32.75  -16450     140       0    60.2     0.4     1.3     1.8    63.6
   -71.25   -32.75  -16450     140       1    60.8     0.0     1.2     1.7    63.6
   -71.25   -32.75  -16450     140       2    63.1     0.0     0.0     0.2    63.2
   -71.25   -32.75  -16450     140       3    62.6     0.0     0.2     1.1    63.9
   -71.25   -32.75  -16450     140       4    61.0     0.0     1.0     2.0    64.0
   -71.25   -32.75  -16450     160       0    68.2     0.0     0.2     1.1    69.5
   -71.25   -32.75  -16450     160       1    67.6     0.0     0.0     0.2    67.9
   -71.25   -32.75  -16450     160       2    67.2     0.0     0.0     0.2    67.5
   -71.25   -32.75  -16450     160       3    67.0     0.0     0.2     1.4    68.6
   -71.25   -32.75  -16450     160       4    68.3     0.0     0.1     1.1    69.5
   -71.25   -32.75  -16449       0       0    44.1    33.0     2.9     0.0    79.9
   -71.25   -32.75  -16449       0       1    56.4    81.4     5.8     0.0   143.6
   -71.25   -32.75  -16449       0       2    43.5     0.0     0.3     0.0    43.8
   -71.25   -32.75  -16449       0       3    44.2    28.8     2.7     0.0    75.7
   -71.25   -32.75  -16449       0       4    44.2    41.0     3.3     0.0    88.5
   -71.25   -32.75  -16449     110       0    33.0     9.0     3.6     0.0    45.5
   -71.25   -32.75  -16449     110       1    51.2     0.0     1.7     0.0    52.9
   -71.25   -32.75  -16449     110       2    34.7     6.2     3.5     0.0    44.5
   -71.25   -32.75  -16449     110       3   118.0     0.0     1.6     0.0   119.6
   -71.25   -32.75  -16449     110       4    51.2     0.0     0.0     0.0    51.2
   -71.25   -32.75  -16449     131       0    49.1     0.0     0.0     0.0    49.1
   -71.25   -32.75  -16449     131       1    48.1     0.0     0.0     0.0    48.1
   -71.25   -32.75  -16449     131       2    49.4     0.0     0.0     0.0    49.4
   -71.25   -32.75  -16449     131       3    49.2     0.0     0.0     0.0    49.2
   -71.25   -32.75  -16449     131       4    33.0    23.5     3.8     0.0    60.2
   -71.25   -32.75  -16449     132       0    51.8     0.0     0.0     0.0    51.9
   -71.25   -32.75  -16449     132       1    33.9    10.6     3.6     0.0    48.1
   -71.25   -32.75  -16449     132       2    51.9     0.0     0.1     0.0    52.0
   -71.25   -32.75  -16449     132       3    50.9     0.0     0.0     0.0    50.9
   -71.25   -32.75  -16449     132       4    51.8     0.0     0.1     0.0    51.9
   -71.25   -32.75  -16449     133       0    46.1     0.0     1.5     0.0    47.6
   -71.25   -32.75  -16449     133       1    40.4     0.0     2.3     0.0    42.6
   -71.25   -32.75  -16449     133       2    49.4     0.0     0.0     0.0    49.4
   -71.25   -32.75  -16449     133       3    49.7     0.0     0.1     0.0    49.8
   -71.25   -32.75  -16449     133       4    30.7    10.1     3.6     0.0    44.3
   -71.25   -32.75  -16449     134       0    51.2     0.0     0.0     0.0    51.2
   -71.25   -32.75  -16449     134       1    51.2     0.0     0.1     0.0    51.2
   -71.25   -32.75  -16449     134       2    51.3     0.0     0.0     0.0    51.3
   -71.25   -32.75  -16449     134       3    49.4     0.0     2.4     0.0    51.8
   -71.25   -32.75  -16449     134       4    51.2     0.0     0.0     0.0    51.2
   -71.25   -32.75  -16449     140       0    34.3     0.0     0.3     1.8    36.4
   -71.25   -32.75  -16449     140       1    35.2     0.0     0.3     1.8    37.3
   -71.25   -32.75  -16449     140       2    37.7     0.0     0.0     0.1    37.8
   -71.25   -32.75  -16449     140       3    37.1     0.0     0.0     0.4    37.5
   -71.25   -32.75  -16449     140       4    36.1     0.0     0.2     3.6    40.0
   -71.25   -32.75  -16449     160       0    49.3     0.0     0.1     0.5    49.9
   -71.25   -32.75  -16449     160       1    49.6     0.0     0.0     0.1    49.6
   -71.25   -32.75  -16449     160       2    50.7     0.0     0.0     0.1    50.8
   -71.25   -32.75  -16449     160       3    47.2     0.0     0.1     0.8    48.1
   -71.25   -32.75  -16449     160       4    52.3     0.0     0.1     0.6    52.9
   -71.25   -32.75  -16448       0       0    59.3    23.6     9.2     0.0    92.2
   -71.25   -32.75  -16448       0       1    97.9   131.1    10.9     0.0   239.9
   -71.25   -32.75  -16448       0       2    58.9     0.0     1.4     0.0    60.2
   -71.25   -32.75  -16448       0       3    59.3    18.6     9.2     0.0    87.0
   -71.25   -32.75  -16448       0       4    58.8    32.3     9.3     0.0   100.3
