      Lon      Lat    Year   Stand   Patch    Surf   Drain    Base    Deep     All
   -71.25   -32.75  -19250       0       0    69.0    99.5    14.1     0.0   182.6
   -71.25   -32.75  -19250       0       1    71.9     0.0     8.2     0.0    80.1
   -71.25   -32.75  -19250       0       2    69.5    98.9    14.1     0.0   182.5
   -71.25   -32.75  -19250       0       3    70.7    81.9    14.6     0.0   167.2
   -71.25   -32.75  -19250       0       4    71.7     7.6     9.6     0.0    89.0
   -71.25   -32.75  -19250     110       0    60.9    68.8    13.8     0.0   143.4
   -71.25   -32.75  -19250     110       1    64.6     0.0    10.1     0.0    74.7
   -71.25   -32.75  -19250     110       2    68.9     0.0     0.2     0.0    69.1
   -71.25   -32.75  -19250     110       3    68.8     0.0     0.3     0.0    69.1
   -71.25   -32.75  -19250     110       4    69.4     0.0     0.2     0.0    69.6
   -71.25   -32.75  -19250     131       0   133.5     0.0     4.9     0.0   138.4
   -71.25   -32.75  -19250     131       1    66.0     0.0     0.2     0.0    66.2
   -71.25   -32.75  -19250     131       2    65.7     0.0    11.1     0.0    76.8
   -71.25   -32.75  -19250     131       3    62.1     0.0    13.1     0.0    75.2
   -71.25   -32.75  -19250     131       4    66.6     0.0     0.2     0.0    66.8
   -71.25   -32.75  -19250     132       0    61.7    59.5    11.7     0.0   132.8
   -71.25   -32.75  -19250     132       1    69.2     0.0     0.2     0.0    69.4
   -71.25   -32.75  -19250     132       2    66.4     0.0    13.2     0.0    79.5
   -71.25   -32.75  -19250     132       3    68.3     0.0     0.3     0.0    68.6
   -71.25   -32.75  -19250     132       4    65.2    67.3    14.5     0.0   147.0
   -71.25   -32.75  -19250     133       0    63.9     0.0     2.8     0.0    66.7
   -71.25   -32.75  -19250     133       1    61.8    60.6    15.2     0.0   137.6
   -71.25   -32.75  -19250     133       2    68.0     0.0     0.2     0.0    68.2
   -71.25   -32.75  -19250     133       3    66.6     0.0     0.3     0.0    66.9
   -71.25   -32.75  -19250     133       4    62.8    36.2    14.5     0.0   113.5
