      Lon      Lat    Year   Stand   Patch    Surf   Drain    Base    Deep     All
   -71.25   -32.75  -13650       0       0   103.3   108.7    28.8     0.0   240.8
   -71.25   -32.75  -13650       0       1   103.2   116.7    29.6     0.0   249.6
   -71.25   -32.75  -13650       0       2   102.6   103.0    28.4     0.0   234.1
   -71.25   -32.75  -13650       0       3   102.9    99.0    28.5     0.0   230.5
   -71.25   -32.75  -13650       0       4   102.7   102.8    28.4     0.0   233.9
   -71.25   -32.75  -13650     110       0    91.7     0.0     6.2     0.0    97.9
   -71.25   -32.75  -13650     110       1    98.6     0.0     2.0     0.0   100.6
   -71.25   -32.75  -13650     110       2    87.2    82.5    27.9     0.0   197.6
   -71.25   -32.75  -13650     110       3    97.6     0.0    23.5     0.0   121.1
   -71.25   -32.75  -13650     110       4    95.9     0.0     0.8     0.0    96.7
   -71.25   -32.75  -13650     131       0    94.7     0.7    28.4     0.0   123.8
   -71.25   -32.75  -13650     131       1    94.7     0.0     0.7     0.0    95.3
   -71.25   -32.75  -13650     131       2    94.0     0.0     9.9     0.0   103.9
   -71.25   -32.75  -13650     131       3    94.4     0.0    10.3     0.0   104.7
   -71.25   -32.75  -13650     131       4    88.6     0.0    15.3     0.0   103.8
   -71.25   -32.75  -13650     132       0    98.9     0.0     0.8     0.0    99.7
   -71.25   -32.75  -13650     132       1   108.9     0.0     0.7     0.0   109.6
   -71.25   -32.75  -13650     132       2    90.4   108.5    30.3     0.0   229.2
   -71.25   -32.75  -13650     132       3    97.3     0.0    11.4     0.0   108.7
   -71.25   -32.75  -13650     132       4    98.8     0.0     0.8     0.0    99.6
   -71.25   -32.75  -13650     133       0    92.2     0.0     0.7     0.0    92.9
   -71.25   -32.75  -13650     133       1    92.3     0.0     4.1     0.0    96.5
   -71.25   -32.75  -13650     133       2    93.6     0.0     2.1     0.0    95.7
   -71.25   -32.75  -13650     133       3    97.5     0.0     3.5     0.0   101.0
   -71.25   -32.75  -13650     133       4    95.5     0.0     2.3     0.0    97.8
   -71.25   -32.75  -13650     134       0    99.9   138.0    37.5     0.0   275.3
   -71.25   -32.75  -13650     134       1    98.3     0.0     0.8     0.0    99.0
   -71.25   -32.75  -13650     134       2    87.7    60.8    26.4     0.0   175.0
   -71.25   -32.75  -13650     134       3    97.8    16.8    32.1     0.0   146.7
   -71.25   -32.75  -13650     134       4    98.5     0.0     4.0     0.0   102.5
   -71.25   -32.75  -13650     140       0    97.1     0.0     1.2     2.4   100.7
   -71.25   -32.75  -13650     140       1   103.1     0.0     0.1     0.5   103.7
   -71.25   -32.75  -13650     140       2    96.1     0.0     0.1     0.6    96.8
   -71.25   -32.75  -13650     140       3    99.6   129.8     3.7     3.6   236.9
   -71.25   -32.75  -13650     140       4    95.1    57.0     3.3     3.6   159.1
