      Lon      Lat    Year   Stand   Patch    Surf   Drain    Base    Deep     All
   -71.25   -32.75     450       0       0    28.0     0.0     2.2     0.0    30.3
   -71.25   -32.75     450       0       1    25.0     5.0     5.1     0.0    35.1
   -71.25   -32.75     450       0       2    25.2     3.1     5.1     0.0    33.4
   -71.25   -32.75     450       0       3    30.1     0.0     2.2     0.0    32.2
   -71.25   -32.75     450       0       4    24.1    23.8     5.2     0.0    53.1
   -71.25   -32.75     450     110       0    22.0     0.0     3.7     0.0    25.7
   -71.25   -32.75     450     110       1    23.7     0.0     0.1     0.0    23.8
   -71.25   -32.75     450     110       2    20.4     0.0     0.0     0.0    20.5
   -71.25   -32.75     450     110       3    15.5    34.4     4.1     0.0    54.0
   -71.25   -32.75     450     110       4    20.9     0.0     4.8     0.0    25.7
   -71.25   -32.75     450     131       0    22.5     0.0     0.1     0.0    22.6
   -71.25   -32.75     450     131       1    22.0     0.0     0.1     0.0    22.1
   -71.25   -32.75     450     131       2    20.4     0.0     0.0     0.0    20.4
   -71.25   -32.75     450     131       3    22.3     0.0     1.9     0.0    24.2
   -71.25   -32.75     450     131       4    15.4    31.5     4.2     0.0    51.1
   -71.25   -32.75     450     132       0    23.6     0.0     0.1     0.0    23.6
   -71.25   -32.75     450     132       1    24.4     0.0     0.1     0.0    24.4
   -71.25   -32.75     450     132       2    24.0     0.0     0.4     0.0    24.4
   -71.25   -32.75     450     132       3    23.2     0.0     0.1     0.0    23.3
   -71.25   -32.75     450     132       4    24.1     0.0     0.3     0.0    24.4
   -71.25   -32.75     450     133       0    21.0     0.0     0.1     0.0    21.1
   -71.25   -32.75     450     133       1    38.1     0.0     0.7     0.0    38.9
   -71.25   -32.75     450     133       2    22.3    24.0     6.5     0.0    52.8
   -71.25   -32.75     450     133       3    20.5     0.0     0.0     0.0    20.5
   -71.25   -32.75     450     133       4    21.4     0.0     0.1     0.0    21.5
   -71.25   -32.75     450     134       0    23.3     0.0     0.4     0.0    23.7
   -71.25   -32.75     450     134       1    22.3     0.0     0.1     0.0    22.4
   -71.25   -32.75     450     134       2    21.7     0.0     0.1     0.0    21.8
   -71.25   -32.75     450     134       3    23.9     0.0     4.7     0.0    28.6
   -71.25   -32.75     450     134       4    24.0     0.0     0.3     0.0    24.2
   -71.25   -32.75     450     140       0    27.1     0.0     0.0     0.1    27.1
   -71.25   -32.75     450     140       1    22.9     0.0     0.0     0.2    23.0
   -71.25   -32.75     450     140       2    23.6     0.0     0.6     3.6    27.8
   -71.25   -32.75     450     140       3    20.2     0.0     0.3     1.4    21.9
   -71.25   -32.75     450     140       4    23.5     0.0     0.6     3.6    27.8
   -71.25   -32.75     450     160       0    23.3     0.0     0.0     0.4    23.7
   -71.25   -32.75     450     160       1    23.6     0.0     0.1     0.6    24.3
   -71.25   -32.75     450     160       2    25.2     0.0     0.3     1.6    27.1
   -71.25   -32.75     450     160       3    24.7     0.0     0.0     0.1    24.8
   -71.25   -32.75     450     160       4    17.9     0.0     0.4     1.1    19.4
   -71.25   -32.75     451       0       0    70.0     0.0     3.7     0.0    73.7
   -71.25   -32.75     451       0       1    69.1    27.2    14.0     0.0   110.3
   -71.25   -32.75     451       0       2    69.7    29.8    15.1     0.0   114.7
   -71.25   -32.75     451       0       3    71.0     0.0     3.7     0.0    74.7
   -71.25   -32.75     451       0       4    69.2    34.6    13.3     0.0   117.1
   -71.25   -32.75     451     110       0    62.6     0.0    13.4     0.0    76.0
   -71.25   -32.75     451     110       1    66.0     0.0     0.3     0.0    66.2
   -71.25   -32.75     451     110       2    66.0     0.0     0.3     0.0    66.2
   -71.25   -32.75     451     110       3    60.4    43.8    13.2     0.0   117.4
   -71.25   -32.75     451     110       4    62.1    25.9    17.3     0.0   105.3
   -71.25   -32.75     451     131       0    63.7     0.0     0.3     0.0    63.9
   -71.25   -32.75     451     131       1    63.7     0.0     0.3     0.0    63.9
   -71.25   -32.75     451     131       2    63.7     0.0     0.5     0.0    64.2
   -71.25   -32.75     451     131       3    63.6     0.0     8.0     0.0    71.6
   -71.25   -32.75     451     131       4    58.0    42.4    13.0     0.0   113.4
   -71.25   -32.75     451     132       0    67.0     0.0     0.3     0.0    67.2
   -71.25   -32.75     451     132       1    67.0     0.0     0.3     0.0    67.3
   -71.25   -32.75     451     132       2    65.7     0.0     2.0     0.0    67.7
   -71.25   -32.75     451     132       3    67.0     0.0     0.5     0.0    67.5
   -71.25   -32.75     451     132       4    66.2     0.0     1.8     0.0    68.0
   -71.25   -32.75     451     133       0    63.7     0.0     0.4     0.0    64.1
   -71.25   -32.75     451     133       1    63.8     0.0     3.3     0.0    67.0
   -71.25   -32.75     451     133       2    62.4    57.0    18.3     0.0   137.7
   -71.25   -32.75     451     133       3    65.4     0.0     0.3     0.0    65.6
   -71.25   -32.75     451     133       4    63.9     0.0     0.6     0.0    64.5
   -71.25   -32.75     451     134       0    66.2     0.0     2.1     0.0    68.3
   -71.25   -32.75     451     134       1    66.2     0.0     0.3     0.0    66.5
   -71.25   -32.75     451     134       2    66.2     0.0     0.3     0.0    66.5
   -71.25   -32.75     451     134       3    66.2     0.0    17.3     0.0    83.5
   -71.25   -32.75     451     134       4    66.2     0.0     1.3     0.0    67.5
   -71.25   -32.75     451     140       0   135.5     0.0     0.3     2.1   137.8
   -71.25   -32.75     451     140       1    66.2     0.0     0.1     1.0    67.3
   -71.25   -32.75     451     140       2    66.2     7.8     1.8     3.6    79.5
   -71.25   -32.75     451     140       3    61.5     0.0     1.5     2.1    65.1
   -71.25   -32.75     451     140       4    66.2    36.0     1.8     3.6   107.7
   -71.25   -32.75     451     160       0    66.6     0.0     0.3     2.1    68.9
   -71.25   -32.75     451     160       1    67.5     0.0     0.3     2.1    69.9
   -71.25   -32.75     451     160       2    67.5     0.0     1.2     2.1    70.8
