      Lon      Lat    Year   Stand   Patch    Surf   Drain    Base    Deep     All
   -71.25   -32.75   -2750       0       0    44.6     0.0     3.6     0.0    48.3
   -71.25   -32.75   -2750       0       1    54.1     0.0     0.1     0.0    54.3
   -71.25   -32.75   -2750       0       2    50.9    37.6     5.0     0.0    93.5
   -71.25   -32.75   -2750       0       3    47.5     8.8     4.5     0.0    60.8
   -71.25   -32.75   -2750       0       4    45.8     0.0     1.4     0.0    47.2
   -71.25   -32.75   -2750     110       0    45.0     0.0     0.0     0.0    45.0
   -71.25   -32.75   -2750     110       1    44.6     0.0     0.0     0.0    44.6
   -71.25   -32.75   -2750     110       2    45.0     0.0     0.1     0.0    45.1
   -71.25   -32.75   -2750     110       3    45.0     0.0     0.0     0.0    45.0
   -71.25   -32.75   -2750     110       4    43.9     0.0     0.0     0.0    43.9
   -71.25   -32.75   -2750     131       0    43.1     0.0     0.0     0.0    43.1
   -71.25   -32.75   -2750     131       1    42.0     0.0     0.0     0.0    42.0
   -71.25   -32.75   -2750     131       2    39.7     0.0     3.1     0.0    42.8
   -71.25   -32.75   -2750     131       3    43.3     0.0     1.9     0.0    45.2
   -71.25   -32.75   -2750     131       4    43.1     0.0     0.0     0.0    43.1
   -71.25   -32.75   -2750     132       0    44.7     0.0     0.0     0.0    44.7
   -71.25   -32.75   -2750     132       1    46.1    31.4     5.4     0.0    82.9
   -71.25   -32.75   -2750     132       2    34.9     8.7     5.1     0.0    48.7
   -71.25   -32.75   -2750     132       3    42.3     0.0     0.0     0.0    42.3
   -71.25   -32.75   -2750     132       4    45.0     0.0     0.0     0.0    45.0
   -71.25   -32.75   -2750     133       0    43.6     0.0     0.0     0.0    43.6
   -71.25   -32.75   -2750     133       1    30.8    14.8     5.4     0.0    50.9
   -71.25   -32.75   -2750     133       2    38.4    25.2     5.1     0.0    68.7
   -71.25   -32.75   -2750     133       3    43.0     0.0     0.0     0.0    43.0
   -71.25   -32.75   -2750     133       4    41.1     0.0     0.0     0.0    41.1
