      Lon      Lat    Year   Stand   Patch    Surf   Drain    Base    Deep     All
   -71.25   -32.75  -18650       0       0    44.9    56.5    10.6     0.0   112.0
   -71.25   -32.75  -18650       0       1    47.5     0.0     4.8     0.0    52.3
   -71.25   -32.75  -18650       0       2    44.5    67.3    10.8     0.0   122.6
   -71.25   -32.75  -18650       0       3    44.2    72.3    10.8     0.0   127.4
   -71.25   -32.75  -18650       0       4    44.0    71.7    10.9     0.0   126.6
   -71.25   -32.75  -18650     110       0    41.5     0.0     0.2     0.0    41.7
   -71.25   -32.75  -18650     110       1    36.3     0.0     9.0     0.0    45.3
   -71.25   -32.75  -18650     110       2    38.8     0.0     6.6     0.0    45.4
   -71.25   -32.75  -18650     110       3    32.9    35.1     9.3     0.0    77.4
   -71.25   -32.75  -18650     110       4    33.4    30.5     9.4     0.0    73.3
   -71.25   -32.75  -18650     131       0    41.8     0.0     0.1     0.0    41.9
   -71.25   -32.75  -18650     131       1    42.6     0.0     0.1     0.0    42.7
   -71.25   -32.75  -18650     131       2    40.1     0.0     0.1     0.0    40.3
   -71.25   -32.75  -18650     131       3    43.4     0.0     0.1     0.0    43.5
   -71.25   -32.75  -18650     131       4    38.9     0.0     0.1     0.0    39.0
   -71.25   -32.75  -18650     132       0    43.3     0.0     0.2     0.0    43.5
   -71.25   -32.75  -18650     132       1    43.1     0.0     0.2     0.0    43.3
   -71.25   -32.75  -18650     132       2    49.0     0.0     0.1     0.0    49.2
   -71.25   -32.75  -18650     132       3    43.0     0.0     0.8     0.0    43.8
   -71.25   -32.75  -18650     132       4    36.2    13.3     9.6     0.0    59.1
   -71.25   -32.75  -18650     133       0    41.3     0.0     0.1     0.0    41.4
   -71.25   -32.75  -18650     133       1    45.7     0.0     0.1     0.0    45.8
   -71.25   -32.75  -18650     133       2    39.7     0.0     0.1     0.0    39.8
   -71.25   -32.75  -18650     133       3    47.2     0.0     0.1     0.0    47.3
   -71.25   -32.75  -18650     133       4    38.0     0.0    10.3     0.0    48.3
   -71.25   -32.75  -18650     134       0    46.2     0.0     0.1     0.0    46.3
   -71.25   -32.75  -18650     134       1    45.2     0.0     0.1     0.0    45.3
   -71.25   -32.75  -18650     134       2    44.2     0.0     0.1     0.0    44.3
   -71.25   -32.75  -18650     134       3    33.3    33.2     9.4     0.0    75.9
   -71.25   -32.75  -18650     134       4    43.3     0.0     0.5     0.0    43.8
   -71.25   -32.75  -18650     140       0    43.1     0.0     0.0     0.1    43.3
   -71.25   -32.75  -18650     140       1    35.3     0.0     0.9     1.6    37.8
   -71.25   -32.75  -18650     140       2    35.3    24.9     1.1     2.0    63.3
   -71.25   -32.75  -18650     140       3    34.7     0.0     0.9     1.7    37.3
   -71.25   -32.75  -18650     140       4    43.3     0.0     0.0     0.1    43.5
   -71.25   -32.75  -18650     160       0    43.0     0.0     0.1     0.5    43.7
   -71.25   -32.75  -18650     160       1    35.3    17.5     1.0     2.0    55.8
   -71.25   -32.75  -18650     160       2    44.0     0.0     0.0     0.2    44.2
   -71.25   -32.75  -18650     160       3    42.8     0.0     0.2     1.7    44.8
   -71.25   -32.75  -18650     160       4    48.8     0.0     0.0     0.2    49.0
   -71.25   -32.75  -18649       0       0    29.6    99.1    11.4     0.0   140.1
   -71.25   -32.75  -18649       0       1    30.0     0.0     2.4     0.0    32.4
   -71.25   -32.75  -18649       0       2    29.1    77.9    10.4     0.0   117.4
   -71.25   -32.75  -18649       0       3    28.9    83.3    10.5     0.0   122.7
   -71.25   -32.75  -18649       0       4    28.9    82.7    10.6     0.0   122.2
   -71.25   -32.75  -18649     110       0    25.0     0.0     0.8     0.0    25.8
   -71.25   -32.75  -18649     110       1    21.9     4.8    11.8     0.0    38.5
   -71.25   -32.75  -18649     110       2    23.8     0.0     9.2     0.0    33.0
   -71.25   -32.75  -18649     110       3    22.6    51.4    12.5     0.0    86.5
   -71.25   -32.75  -18649     110       4    21.3    27.3    10.2     0.0    58.8
   -71.25   -32.75  -18649     131       0    23.2     0.0     0.2     0.0    23.3
   -71.25   -32.75  -18649     131       1    23.1     0.0     0.2     0.0    23.3
   -71.25   -32.75  -18649     131       2    22.8     0.0     0.3     0.0    23.0
   -71.25   -32.75  -18649     131       3    23.0     0.0     0.2     0.0    23.2
   -71.25   -32.75  -18649     131       4    22.1     0.0     0.2     0.0    22.3
   -71.25   -32.75  -18649     132       0    25.8     0.0     0.4     0.0    26.2
   -71.25   -32.75  -18649     132       1    25.3     0.0     0.4     0.0    25.7
   -71.25   -32.75  -18649     132       2    25.8     0.0     0.2     0.0    26.0
   -71.25   -32.75  -18649     132       3    25.6     0.0     1.2     0.0    26.8
   -71.25   -32.75  -18649     132       4    22.7    27.7    11.4     0.0    61.7
   -71.25   -32.75  -18649     133       0    22.2     0.0     0.1     0.0    22.4
   -71.25   -32.75  -18649     133       1    23.3     0.0     0.2     0.0    23.5
   -71.25   -32.75  -18649     133       2    22.9     0.0     0.2     0.0    23.1
   -71.25   -32.75  -18649     133       3    23.3     0.0     0.2     0.0    23.5
   -71.25   -32.75  -18649     133       4    23.4    58.5    13.6     0.0    95.5
   -71.25   -32.75  -18649     134       0    25.1     0.0     0.2     0.0    25.3
   -71.25   -32.75  -18649     134       1    25.2     0.0     0.2     0.0    25.4
   -71.25   -32.75  -18649     134       2    25.2     0.0     0.2     0.0    25.4
   -71.25   -32.75  -18649     134       3    21.5    27.2    10.1     0.0    58.8
   -71.25   -32.75  -18649     134       4    24.8     0.0     0.6     0.0    25.4
   -71.25   -32.75  -18649     140       0    25.0     0.0     0.0     0.2    25.2
   -71.25   -32.75  -18649     140       1    21.5     0.0     1.0     2.0    24.6
   -71.25   -32.75  -18649     140       2    22.1    57.1     1.2     3.6    84.0
   -71.25   -32.75  -18649     140       3    23.1    29.9     1.3     2.0    56.3
   -71.25   -32.75  -18649     140       4    25.2     0.0     0.0     0.3    25.5
   -71.25   -32.75  -18649     160       0    26.2     0.0     0.1     1.3    27.6
   -71.25   -32.75  -18649     160       1    22.9    21.4     1.1     2.5    47.9
   -71.25   -32.75  -18649     160       2    26.3     0.0     0.1     0.9    27.3
   -71.25   -32.75  -18649     160       3    26.3     0.0     0.4     2.0    28.8
   -71.25   -32.75  -18649     160       4    26.3     0.0     0.0     0.3    26.6
   -71.25   -32.75  -18648       0       0    14.1    67.0     3.5     0.0    84.6
   -71.25   -32.75  -18648       0       1    13.3     0.0     0.3     0.0    13.6
   -71.25   -32.75  -18648       0       2    13.4    43.0     3.4     0.0    59.8
   -71.25   -32.75  -18648       0       3    13.2    49.2     3.4     0.0    65.8
   -71.25   -32.75  -18648       0       4    13.2    48.7     3.5     0.0    65.4
   -71.25   -32.75  -18648     110       0    11.9     0.0     1.0     0.0    12.9
   -71.25   -32.75  -18648     110       1     3.3    13.2     1.6     0.0    18.1
   -71.25   -32.75  -18648     110       2     7.7     0.0     2.9     0.0    10.7
   -71.25   -32.75  -18648     110       3     4.7    17.3     1.6     0.0    23.6
   -71.25   -32.75  -18648     110       4     2.3     8.6     1.5     0.0    12.5
   -71.25   -32.75  -18648     131       0    10.8     0.0     0.6     0.0    11.4
   -71.25   -32.75  -18648     131       1    10.5     0.0     0.5     0.0    11.1
   -71.25   -32.75  -18648     131       2     9.2     0.0     0.5     0.0     9.8
   -71.25   -32.75  -18648     131       3    10.4     0.0     0.5     0.0    10.9
   -71.25   -32.75  -18648     131       4     7.2     0.0     0.4     0.0     7.6
   -71.25   -32.75  -18648     132       0    12.4     0.0     0.8     0.0    13.2
   -71.25   -32.75  -18648     132       1    10.5     0.0     0.6     0.0    11.1
   -71.25   -32.75  -18648     132       2    12.6     0.0     0.6     0.0    13.2
   -71.25   -32.75  -18648     132       3    11.7     0.0     1.1     0.0    12.7
   -71.25   -32.75  -18648     132       4     3.9    13.7     1.5     0.0    19.1
   -71.25   -32.75  -18648     133       0     7.7     0.0     0.3     0.0     8.1
   -71.25   -32.75  -18648     133       1    10.8     0.0     0.6     0.0    11.4
   -71.25   -32.75  -18648     133       2     9.4     0.0     0.5     0.0     9.8
   -71.25   -32.75  -18648     133       3    10.8     0.0     0.6     0.0    11.3
